Id,Status,Pole Class,Borough,X Coord.,Y Coord.,Latitude,Longitude,Zipcode
21868,Installed,CITY,Brooklyn,1004330,174277,40.6450039,-73.9276421,11203
21867,Approved,CITY,Brooklyn,996771,168066,40.62797,-73.9548923,11210
21865,Approved,CITY,Brooklyn,1002816,166520,40.6237159,-73.9331191,11234
21864,Approved,CITY,Brooklyn,998180,193467,40.697688,-73.9497639,11206
21863,Installed,CITY,Brooklyn,998647,164324,40.6176961,-73.9481419,11210
21862,Approved,CITY,Queens,1010741,193959,40.6990097,-73.9044629,11385
21861,Installed,CITY,Brooklyn,983459,164319,40.6176941,-74.0028492,11228
21860,Proposed,CITY,Brooklyn,995138,194022,40.6992156,-73.9607334,11249
21859,Installed,CITY,Queens,1014023,194980,40.7018017,-73.8926222,11385
21858,Installed,CITY,Queens,1016706,195828,40.7041198,-73.8829417,11385
21857,Proposed,CITY,Queens,1042119,201243,40.718853,-73.791239,11432
21854,Approved,CITY,Queens,1037161,206124,40.7322811,-73.8090864,11365
21838,Proposed,UTILITY,Bronx,1024417,247147,40.8449452,-73.8548239,10462
21837,Proposed,UTILITY,Bronx,1025721,257894,40.8744364,-73.8500444,10469
21836,Proposed,UTILITY,Bronx,1034041,246265,40.8424753,-73.8200464,10465
21835,Proposed,UTILITY,Bronx,1029060,252846,40.8605648,-73.8380046,10469
21834,Proposed,UTILITY,Bronx,1025706,253038,40.8611082,-73.8501287,10469
21833,Proposed,UTILITY,Bronx,1022699,250278,40.8535465,-73.8610154,10462
21830,Proposed,UTILITY,Bronx,1011063,257297,40.8728545,-73.9030488,10463
21829,Proposed,UTILITY,Bronx,1012447,260891,40.8827146,-73.8980294,10463
21827,Proposed,UTILITY,Bronx,1003963,243203,40.8341894,-73.9287626,10452
21826,Proposed,UTILITY,Bronx,1023493,251330,40.8564304,-73.8581391,10461
21825,Approved,UTILITY,Bronx,1043285,248041,40.8472929,-73.7866215,10464
21824,Proposed,UTILITY,Bronx,1027714,252420,40.8594023,-73.8428734,10469
21823,Proposed,UTILITY,Bronx,1030866,250828,40.8550167,-73.8314897,10461
21822,Proposed,UTILITY,Bronx,1029197,257522,40.8733983,-73.837478,10469
21821,Proposed,UTILITY,Bronx,1012306,260036,40.8803683,-73.8985429,10463
21820,Proposed,UTILITY,Bronx,1024416,256112,40.8695514,-73.8547738,10469
21819,Proposed,UTILITY,Bronx,1026658,247357,40.8455111,-73.846723,10461
21818,Proposed,UTILITY,Bronx,1027661,252933,40.8608106,-73.8430617,10469
21817,Proposed,UTILITY,Bronx,1011813,260195,40.8808063,-73.900325,10463
21816,Proposed,UTILITY,Bronx,1026797,256395,40.870317,-73.8461632,10469
21815,Proposed,UTILITY,Bronx,1029304,258601,40.8763593,-73.8370838,10469
21814,Proposed,UTILITY,Bronx,1023653,256163,40.8696948,-73.8575323,10469
21813,Proposed,UTILITY,Bronx,1025296,246277,40.8425532,-73.8516523,10461
21794,Approved,CITY,Manhattan,985990,207742,40.7368802,-73.9937213,10011
21793,Proposed,CITY,Manhattan,982445,212072,40.748765,-74.0065144,10011
21792,Installed,UTILITY,Staten_Island,927633,132958,40.5314336,-74.2036717,10309
21790,Proposed,CITY,Manhattan,987620,201944,40.7209657,-73.9878424,10002
21789,Proposed,CITY,Manhattan,988393,211099,40.7460936,-73.9850481,10016
21788,Approved,CITY,Manhattan,990193,206893,40.7345481,-73.9785557,10010
21787,Approved,CITY,Manhattan,982136,205635,40.731097,-74.0076276,10014
21786,Proposed,CITY,Manhattan,991237,205060,40.7295162,-73.9747906,10009
21785,Approved,CITY,Manhattan,982046,212529,40.7500192,-74.0079546,10011
21784,Approved,CITY,Manhattan,985320,202865,40.7234942,-73.9961397,10012
21783,Approved,CITY,Manhattan,986446,199933,40.7154463,-73.9920784,10002
21782,Proposed,CITY,Manhattan,985866,198467,40.7114226,-73.994171,10002
21781,Proposed,CITY,Manhattan,982337,197407,40.7085131,-74.0069,10038
21780,Approved,CITY,Manhattan,987617,207203,40.7354003,-73.9878506,10003
21779,Proposed,CITY,Manhattan,989053,210880,40.7454921,-73.9826664,10016
21778,Approved,CITY,Manhattan,984408,211899,40.7482903,-73.9994298,10001
21777,Approved,CITY,Manhattan,982819,213355,40.7522866,-74.0051649,10001
21776,Approved,CITY,Manhattan,982549,213797,40.7534997,-74.0061395,10001
21775,Proposed,CITY,Manhattan,985712,206809,40.7343194,-73.9947247,10003
21774,Proposed,CITY,Manhattan,983498,204044,40.7267303,-74.0027131,10012
